id,LoCC,h_avg,Uniq(Nw),Nw,mode,dl,title
11,"PR,PZ",5.99,"3,973","27,386",SV5,"17,366",Alice’s Adventures in Wonderland
84,PR,5.89,"9,691","77,680",-SV3,"11,699","Frankenstein; Or, The Modern Pro..."
74,"PZ,PS",5.76,"11,094","73,265",SV4,"9,454",The Adventures of Tom Sawyer
844,PR,6.15,"3,612","23,161",SV1,"9,373",The Importance of Being Earnest:...
174,PR,5.96,"9,588","84,591",-SV1,"7,652",The Picture of Dorian Gray
16,"PZ,PR",5.89,"6,747","48,189",SV4,"5,789",Peter Pan
16328,PR,5.64,"9,351","44,949",-SV1,"5,359",Beowulf : An Anglo-Saxon Epic Poem
42,PR,5.63,"5,300","26,085",-SV1,"4,908",The Strange Case of Dr. Jekyll a...
2814,PR,6.11,"9,844","68,963",SV2,"4,742",Dubliners
46,PR,6.08,"5,734","29,192",-SV2,"4,602",A Christmas Carol in Prose; Bein...
244,PR,5.83,"7,743","44,537",-SV3,"4,535",A Study in Scarlet
120,"PZ,PR",5.89,"8,867","70,261",SV3,"4,402",Treasure Island
526,PR,5.77,"7,683","38,504",-SV1,"4,362",Heart of Darkness
35,PR,5.87,"6,171","32,622",-SV1,"3,732",The Time Machine
3825,PR,6.08,"5,864","34,898",-SV1,"3,580",Pygmalion
236,PR,5.70,"6,967","52,449",SV1,"3,478",The Jungle Book
2852,PR,5.90,"7,655","60,070",-SV1,"3,358",The Hound of the Baskervilles
219,PR,5.76,"7,662","38,464",-SV1,"3,243",Heart of Darkness
863,PR,5.83,"7,725","57,720",-SV3,"3,112",The Mysterious A↵air at Styles
33,PS,6.03,"12,462","87,213",SV5,"3,045",The Scarlet Letter
55,"PZ,PS",6.10,"4,217","40,939",SV2,"3,035",The Wonderful Wizard of Oz
4517,PS,5.94,"5,854","35,704",SV4,"2,895",Ethan Frome
12,"PZ,PR",5.98,"4,474","30,775",SV2,"2,892",Through the Looking-Glass
28520,PR,6.25,"4,726","32,669",-SV1,"2,716",Forbidden Fruit: Luscious and exc...
105,PR,6.20,"8,279","86,532",-SV7,"2,535",Persuasion
20,PR,5.61,"15,388","91,206",-SV2,"2,522",Paradise Lost
62,PS,5.90,"8,731","68,970",-SV2,"2,515",A Princess of Mars
36,PR,5.67,"9,447","62,729",-SV3,"2,496",The War of the Worlds
215,PS,5.68,"6,245","32,356",SV1,"2,439",The Call of the Wild
121,PR,6.16,"8,806","77,944",SV4,"2,355",Northanger Abbey
1524,PR,5.95,"7,281","34,265",-SV1,"2,329","Hamlet, Prince of Denmark"
2097,PR,5.85,"7,226","45,443",-SV3,"2,283",The Sign of the Four
25305,PR,6.13,"10,715","85,189",-SV5,"2,222",Memoirs Of Fanny Hill: A New and ...
209,PS,5.84,"6,642","42,852",-SV3,"2,175",The Turn of the Screw
4217,PR,5.87,"12,486","86,019",-SV4,"2,172",A Portrait of the Artist as a Yo...
834,PR,5.88,"10,013","88,841",SV2,"2,164",The Memoirs of Sherlock Holmes
779,PR,5.86,"5,471","22,025",SV1,"2,133",The Tragical History of Doctor F...
1155,PR,5.90,"10,087","77,875",-SV1,"2,070",The Secret Adversary
308,PR,5.99,"9,679","69,574",-SV2,"2,059",Three Men in a Boat
696,PR,5.92,"6,274","37,999",SV3,"1,663",The Castle of Otranto
8492,PS,5.83,"11,488","72,731",SV4,"1,504",The King in Yellow
5131,PR,5.72,"9,379","42,394",-SV2,"1,481",Childe Harold’s Pilgrimage
289,"PR,PZ",6.05,"9,353","60,301",-SV3,"1,475",The Wind in the Willows
10007,PR,6.02,"5,418","28,220",-SV3,"1,416",Carmilla
1837,PS,5.78,"12,043","72,781",SV2,"1,389",The Prince and the Pauper
35997,PR,5.71,"7,495","53,872",SV1,"1,370",The Jungle Book
2641,PR,6.03,"9,948","67,923",SV6,"1,354",A Room with a View
8164,PR,6.11,"7,061","52,792",-SV1,"1,317",My Man Jeeves
885,PR,6.11,"4,773","34,378",SV1,"1,303",An Ideal Husband
447,PS,5.61,"5,347","24,520",SV2,"1,295",Maggie: A Girl of the Streets
139,PR,5.85,"10,986","79,892",-SV1,"1,274",The Lost World
78,PS,5.76,"10,347","87,882",SV1,"1,272",Tarzan of the Apes
972,PS,5.73,"15,417","65,791",-SV2,"1,257",The Devil’s Dictionary
3289,PR,5.79,"7,929","58,672",-SV2,"1,228",The Valley of Fear
910,PS,5.69,"9,199","76,867",SV4,"1,178",White Fang
73,PS,5.43,"8,135","49,153",-SV3,"1,163",The Red Badge of Courage: An Epi...
113,"PS,PZ",6.12,"7,267","85,604",SV2,"1,153",The Secret Garden
974,PR,5.86,"12,480","95,448",SV6,"1,142",The Secret Agent: A Simple Tale
102,PS,5.90,"9,160","54,631",-SV1,"1,140",The Tragedy of Pudd’nhead Wilson
421,"PR,PZ",5.82,"9,400","83,335",SV2,"1,132",Kidnapped
131,PR,5.83,"7,033","60,264",-SV2,"1,126",The Pilgrim’s Progress from this...
805,PS,6.05,"14,149","84,291",-SV1,"1,122",This Side of Paradise
208,PS,6.26,"3,863","21,859",-SV1,"1,101",Daisy Miller: A Study
28522,PR,6.24,"4,226","32,282",-SV2,"1,097",Laura Middleton; Her Brother and...
159,PR,5.72,"7,386","45,521",-SV1,"1,083",The Island of Doctor Moreau
26654,"PZ,PR",5.90,"6,753","48,096",-SV2,"1,068",Peter and Wendy
2265,PR,5.72,"6,829","31,656",-SV1,"1,051",Hamlet
28885,"PR,PZ",6.00,"4,283","28,410",SV5,"1,051",Alice’s Adventures in Wonderland...
32,PS,6.31,"8,783","52,978",-SV3,"1,013",Herland
5230,PR,5.73,"8,320","49,621",SV2,"1,011",The Invisible Man: A Grotesque R...
558,PR,5.95,"7,052","43,658",-SV1,989,The Thirty-Nine Steps
15272,PR,5.70,"16,466","81,519",-SV7,978,"Spenser’s The Faerie Queene, Book I"
383,PR,6.13,"4,286","25,517",-SV3,903,"She Stoops to Conquer; Or, The M..."
10554,PR,6.00,"10,348","75,766",-SV3,896,"Right Ho, Jeeves"
946,PR,6.23,"3,870","23,259",-SV1,894,Lady Susan
500,"PQ,PZ",5.82,"5,110","40,459",SV1,863,The Adventures of Pinocchio
242,PS,6.24,"10,229","83,178",SV4,847,My Antonia
1041,PR,5.90,"4,357","20,305",-SV1,831,Shakespeare’s Sonnets
51,PZ,6.11,"10,730","79,609",SV2,826,Anne of the Island
146,"PS,PZ",5.93,"7,440","69,446",SV4,825,A Little Princess : Being the who...
389,PR,5.82,"4,281","22,637",-SV3,807,The Great God Pan
269,PR,6.08,"11,011","64,396",SV1,804,Beasts and Super-Beasts
47,PZ,6.16,"10,297","92,180",SV4,803,Anne of Avonlea
204,PR,5.82,"10,947","80,292",-SV4,800,The Innocence of Father Brown
1695,PR,5.75,"8,704","58,887",SV4,796,The Man Who Was Thursday: A Nigh...
2166,PR,5.73,"10,303","83,364",SV3,788,King Solomon’s Mines
41445,PR,5.90,"9,449","73,078",-SV3,786,"Frankenstein; Or, The Modern Pro..."
271,"PZ,PR",5.89,"5,793","61,002",SV5,780,Black Beauty
550,PR,6.09,"9,619","75,026",SV1,780,Silas Marner
1097,PR,6.12,"6,435","35,689",-SV2,780,Mrs. Warren’s Profession
2267,PR,5.87,"5,856","29,535",-SV1,760,Othello
4081,PR,6.00,"12,897","54,042",-SV1,744,The Alchemist
26,PR,5.79,"14,098","81,693",-SV4,730,Paradise Lost
854,PR,6.14,"3,636","24,756",-SV2,729,A Woman of No Importance
981,PR,5.52,"5,645","27,044",-SV1,718,Beowulf
17396,"PZ,PS",6.11,"7,399","83,089",SV2,716,The Secret Garden
60,PR,5.93,"10,611","85,417",-SV1,710,The Scarlet Pimpernel
624,PS,6.13,"10,209","78,379",-SV6,679,"Looking Backward, 2000 to 1887"
29827,PS,6.30,"5,140","39,640",-SV1,678,The Life and Amours of the Beaut...
19994,PZ,5.89,"4,931","27,975",SV1,676,The Aesop for Children : With pic...
1280,PS,5.94,"7,558","36,193",SV3,671,Spoon River Anthology
2040,PR,6.02,"7,759","39,898",-SV2,643,Confessions of an English Opium-...
28521,PR,6.18,"4,825","25,545",SV1,643,The Power of Mesmerism: A Highly ...
20781,PZ,6.19,"5,897","52,684",-SV3,642,Heidi: (Gift Edition)
12753,PN,5.74,"7,306","94,291",-SV2,640,The Legends of King Arthur and H...
64,PS,5.74,"9,416","85,182",-SV4,628,The Gods of Mars
1091,PR,5.92,"13,396","89,835",-SV1,622,"On Heroes, Hero-Worship, and the..."
19337,PR,6.08,"5,921","29,957",-SV2,622,A Christmas Carol
32154,PS,5.60,"5,073","25,869",-SV1,618,The Variable Man
1212,PR,6.08,"6,140","33,532",SV3,611,Love and Freindship [sic]
43,PR,5.61,"5,142","25,883",-SV1,599,The Strange Case of Dr. Jekyll a...
544,PZ,6.10,"10,357","85,952",-SV5,586,Anne’s House of Dreams
708,PZ,6.12,"5,857","53,567",SV3,579,The Princess and the Goblin
68,PS,5.67,"7,746","58,345",-SV2,571,Warlord of Mars
4078,PR,6.01,"7,626","58,448",-SV1,565,The Picture of Dorian Gray
223,PR,5.85,"10,747","73,134",-SV3,563,The Wisdom of Father Brown
10002,PR,5.77,"7,380","51,289",SV1,563,The House on the Borderland
4039,PR,5.97,"13,090","54,335",-SV1,558,"Volpone; Or, The Fox"
3070,PR,5.89,"7,682","59,943",-SV1,549,The Hound of the Baskervilles
1128,PR,5.72,"6,036","32,080",-SV1,548,The Tragedy of King Lear
27805,"PZ,PR",6.06,"9,464","60,665",-SV3,543,The Wind in the Willows
3618,PR,5.96,"4,952","25,451",-SV2,536,Arms and the Man
2232,PR,5.75,"6,006","32,036",-SV1,534,The Duchess of Malfi
157,"PZ,PS",6.24,"6,918","40,321",-SV2,531,Daddy-Long-Legs
17157,"PR,PZ",6.09,"8,404","52,750",SV1,528,Gulliver’s Travels into Several ...
11012,PS,6.21,"7,970","52,360",-SV1,509,The Autobiography of an Ex-Color...
1164,PS,5.71,"12,274","90,738",SV3,506,The Iron Heel
2243,PR,5.99,"4,864","23,454",SV3,506,The Merchant of Venice
501,PZ,5.97,"4,151","27,696",SV1,504,The Story of Doctor Dolittle
3188,PS,6.10,"12,619","94,816",-SV9,500,Mark Twain’s Speeches
1120,PR,5.69,"4,300","24,322",-SV1,496,The Tragedy of Julius Caesar
610,PR,5.85,"11,145","96,537",-SV6,494,Idylls of the King
790,PR,5.99,"3,538","22,328",-SV1,485,Lady Windermere’s Fan
11505,PR,5.89,"9,117","60,097",-SV1,485,All Things Considered
1094,PR,5.81,"6,206","27,873",SV2,474,Tamburlaine the Great Part 1
19860,PZ,6.13,"8,945","87,593",-SV2,470,The Arabian Nights Entertainments
325,PR,6.07,"9,566","70,798",-SV1,461,Phantastes: A Faerie Romance for...
376,PR,5.52,"8,546","96,133",-SV2,461,A Journal of the Plague Year : Wr...
10150,PR,5.79,"8,634","57,947",SV1,456,Dracula’s Guest
1129,PR,5.75,"4,723","21,587",-SV3,449,The Tragedy of Macbeth
72,PS,5.70,"7,305","49,059",-SV2,437,"Thuvia, Maid of Mars"
1874,"PZ,PR",5.96,"7,365","61,948",-SV3,437,The Railway Children
2775,PR,6.02,"9,620","76,278",SV5,426,The Good Soldier
1872,PR,5.93,"6,404","62,303",SV5,422,The Red House Mystery
54,PZ,5.99,"6,605","43,671",-SV2,419,The Marvelous Land of Oz
1929,PR,6.01,"6,884","30,021",SV1,417,The School for Scandal
3790,PR,6.11,"5,977","33,481",-SV3,416,Major Barbara
1153,PS,5.72,"9,751","89,479",-SV1,409,The Chessmen of Mars
24761,PR,6.13,"6,236","28,845",-SV1,408,The Rivals: A Comedy
5670,PR,6.02,"10,376","55,534",-SV4,403,Jacob’s Room
3011,PR,5.85,"15,680","85,874",SV1,399,The Lady of the Lake
470,PR,6.06,"9,337","66,257",-SV2,395,Heretics
1719,PR,5.58,"4,195","20,388",-SV1,394,The Ballad of the White Horse
811,PR,5.82,"5,250","25,326",SV4,389,The Tragical History of Doctor F...
6043,PR,5.66,"5,633","27,164",SV1,389,The Spanish Tragedie
25344,PS,6.03,"12,645","85,248",SV5,386,The Scarlet Letter
420,PZ,6.06,"5,820","43,815",SV2,385,Dorothy and the Wizard in Oz
81,"PZ,PS",5.74,"10,316","92,959",SV4,384,The Return of Tarzan
1103,PR,5.78,"6,082","36,552",-SV2,384,King Richard III
2042,PR,6.00,"10,612","76,340",-SV1,384,Something New
1107,PR,6.12,"4,698","25,876",-SV1,383,The Taming of the Shrew
5348,"PS,PZ",6.16,"6,516","50,048",SV1,378,"Ragged Dick, Or, Street Life in ..."
24,PS,6.17,"7,464","56,862",-SV2,371,O Pioneers!
1292,PR,6.15,"5,659","31,158",-SV2,367,The Way of the World
4352,PN,6.33,"6,975","40,090",-SV4,365,Laughter: An Essay on the Meanin...
25016,PR,5.99,"10,431","88,028",-SV1,362,The House of Souls
1787,PR,5.96,"6,676","37,349",-SV1,361,Hamlet
1121,PR,6.14,"4,643","26,406",SV1,355,As You Like It
222,PR,6.06,"9,300","79,148",SV2,352,The Moon and Sixpence
8092,PR,5.94,"9,232","56,615",-SV1,352,Tremendous Trifles
24737,"PZ,BL",6.03,"6,187","66,511",-SV1,352,The Children of Odin: The Book o...
1951,PR,6.11,"9,266","53,105",SV2,350,The Coming Race
1450,"PS,PZ",6.10,"7,049","58,189",-SV3,349,Pollyanna
1013,PR,5.92,"10,116","69,083",SV2,348,The First Men in the Moon
1051,PR,5.92,"16,731","82,042",SV5,347,Sartor Resartus: The Life and Op...
1059,PR,5.87,"11,487","65,705",SV2,343,The World Set Free
95,PR,5.88,"7,497","54,794",-SV1,339,The Prisoner of Zenda
171,PS,6.10,"6,112","37,184",-SV1,337,Charlotte Temple
1026,PR,6.14,"6,332","44,387",-SV1,329,The Diary of a Nobody
1240,PR,5.99,"3,710","21,616",-SV2,317,The Playboy of the Western World...
32530,PS,5.85,"5,649","27,829",-SV1,313,Armageddon2419 A.D.
42324,PR,5.92,"10,228","78,348",-SV3,313,"Frankenstein; Or, The Modern Pro..."
3328,PR,6.04,"10,895","70,074",SV5,312,Man and Superman: A Comedy and a...
1720,PR,5.82,"8,489","60,871",-SV2,310,The Man Who Knew Too Much
32706,PS,5.70,"14,125","93,946",SV1,309,Triplanetary
572,"PR,PZ",5.96,"5,252","28,912",-SV1,307,The Great Big Treasury of Beatri...
1937,PR,5.74,"8,616","65,478",-SV1,304,The Second Jungle Book
792,PS,5.74,"10,520","83,097",-SV1,303,"Wieland; Or, The Transformation:..."
27761,PR,6.00,"8,485","35,961",-SV2,301,"Hamlet, Prince of Denmark"
19,PS,6.10,"5,894","33,070",-SV2,297,The Song of Hiawatha
123,PS,5.94,"7,507","51,233",-SV1,296,At the Earth’s Core
848,PR,5.67,"10,325","82,934",-SV3,292,The Black Arrow: A Tale of Two R...
1526,PR,6.07,"4,982","23,656",-SV2,292,"Twelfth Night; Or, What You Will"
2240,PR,6.03,"4,548","23,924",-SV2,289,Much Ado about Nothing
21816,PS,6.05,"15,335","95,798",SV1,289,The Confidence-Man: His Masquerade
225,"PR,PZ",6.19,"7,637","91,335",-SV4,288,At the Back of the North Wind
767,PR,6.15,"9,698","69,672",SV6,287,Agnes Grey
4368,PS,6.07,"10,612","62,912",SV2,287,Flappers and Philosophers
28346,PS,5.57,"8,504","59,208",-SV1,287,Deathworld
394,PR,6.07,"9,544","73,969",SV3,285,Cranford
2870,PS,6.04,"7,870","66,537",-SV1,285,Washington Square
10556,PR,5.70,"9,138","71,168",-SV1,285,The Old Man in the Corner
7464,PR,6.04,"10,866","79,829",-SV1,282,The Adventures of Sally
13650,"PR,PZ",6.11,"6,625","33,307",-SV2,282,Nonsense Books
1640,PR,5.86,"10,437","94,723",-SV1,281,Lilith: A Romance
21084,PN,6.03,"13,077","73,724",SV1,281,Jokes For All Occasions: Selected...
27780,"PZ,PR",5.89,"9,129","70,752",SV3,281,Treasure Island
901,PR,5.85,"5,953","29,482",SV2,279,The Jew of Malta
551,PS,5.87,"6,318","38,692",-SV2,278,The Land That Time Forgot
4737,PR,6.05,"8,944","47,518",-SV2,277,A Tale of a Tub
134,PR,6.20,"8,213","45,519",-SV2,271,"Maria; Or, The Wrongs of Woman"
1167,PS,5.97,"7,276","51,971",SV6,270,A Strange Disappearance
126,PR,5.86,"6,125","30,911",SV2,268,The Poison Belt
486,PZ,5.99,"5,754","40,887",SV2,268,Ozma of Oz
1448,PZ,6.26,"7,170","92,839",-SV3,268,Heidi
34339,PZ,6.12,"6,191","53,073",SV3,268,The Princess and the Goblin
17866,PS,5.67,"9,106","70,159",-SV1,267,Murder in the Gunroom
517,PZ,6.11,"6,894","56,349",-SV4,266,The Emerald City of Oz
2253,PR,5.72,"6,816","28,511",SV2,266,Henry V
804,PR,6.21,"7,664","39,942",-SV2,261,A Sentimental Journey Through Fr...
2276,PR,5.90,"11,012","84,689",-SV3,260,The Private Memoirs and Confessi...
847,PR,5.56,"6,395","27,247",SV2,259,Lays of Ancient Rome
1354,"PZ,PS",6.05,"9,077","67,911",-SV3,258,Chronicles of Avonlea
10743,"PZ,PR",5.82,"8,816","84,340",SV2,258,Moonfleet
5343,"PZ,PS",5.96,"10,103","83,662",SV6,257,Rainbow Valley
26740,PR,5.97,"10,071","81,413",-SV1,257,The Picture of Dorian Gray
2776,PS,6.15,"10,997","53,430",SV2,255,The Four Million
23661,PZ,5.99,"5,796","43,139",SV4,254,The Book of Dragons
1027,PS,5.66,"11,203","97,821",-SV7,253,The Lone Star Ranger: A Romance ...
1906,PR,5.91,"10,707","86,441",-SV3,251,"Erewhon; Or, Over the Range"
1376,"PR,PZ",6.13,"8,595","67,250",SV4,250,"The Little White Bird; Or, Adven..."
22693,PZ,5.97,"12,020","95,310",SV3,248,A Book of Myths
33391,PS,5.98,"7,357","33,634",SV7,248,Bill Nye’s Cordwood
42243,PS,5.47,"10,378","73,598",-SV1,247,The Hour of the Dragon
479,"PS,PZ",6.20,"6,584","59,532",-SV1,246,Little Lord Fauntleroy
20869,PS,5.96,"10,923","88,354",-SV7,246,The Skylark of Space
173,PR,5.70,"11,097","76,727",SV1,245,The Insidious Dr. Fu Manchu
791,PR,5.88,"6,490","31,009",-SV1,245,The Princess
19551,PZ,5.91,"2,576","21,970",SV1,245,"Alice in Wonderland, Retold in W..."
20796,PS,5.69,"7,943","47,430",-SV1,245,The Colors of Space
7477,PR,5.99,"4,831","23,189",SV6,244,The Book of Wonder
2607,PR,5.90,"9,091","58,788",SV2,242,"Psmith, Journalist"
9611,PR,6.08,"9,273","65,101",-SV3,242,"Joseph Andrews, Vol. 1"
652,PR,6.00,"6,717","39,051",-SV1,241,"Rasselas, Prince of Abyssinia"
11074,PR,5.89,"6,291","31,780",-SV1,241,The Damned
2062,PR,5.92,"6,160","33,862",-SV2,239,"All for Love; Or, The World Well..."
2667,PR,6.13,"8,658","64,043",-SV1,238,The Vicar of Wakefield
2688,PR,5.91,"8,412","58,657",-SV4,237,The Clue of the Twisted Candle
257,PR,6.16,"7,790","79,838",SV2,236,Troilus and Criseyde
3529,PR,6.19,"8,978","51,797",-SV1,236,Letters Written During a Short R...
7118,PS,6.08,"10,645","97,379",-SV1,236,What Maisie Knew
10966,PR,5.72,"5,197","48,716",SV2,234,The Ghost Pirates
16865,"PQ,PZ",5.81,"5,802","42,973",-SV3,234,Pinocchio: The Tale of a Puppet
8446,PS,5.85,"15,510","93,965",-SV4,232,The Enormous Room
605,PS,5.86,"8,094","59,704",-SV1,231,Pellucidar
4540,PS,6.04,"7,764","80,399",-SV5,230,In His Steps
2081,PS,6.16,"11,935","78,977",-SV2,229,The Blithedale Romance
85,"PS,PZ",5.61,"8,098","65,632",SV2,227,The Beasts of Tarzan
20898,PS,5.92,"10,547","69,493",-SV3,227,The Galaxy Primes
19145,PS,5.73,"9,575","65,276",SV5,225,The Time Traders
25550,PS,5.76,"8,663","58,088",-SV1,225,The Defiant Agents
1028,PR,6.13,"13,988","89,330",SV2,223,The Professor
20728,PS,5.80,"9,406","69,043",-SV3,223,Space Viking
20727,PS,5.79,"9,152","67,071",-SV3,221,The Cosmic Computer
3536,PZ,6.10,"8,257","71,244",SV5,220,The Enchanted Castle
5342,PZ,5.99,"10,409","90,365",-SV1,220,The Story Girl
1142,PR,5.59,"6,551","31,562",-SV1,219,Typhoon
1329,PR,6.01,"10,863","94,055",-SV3,218,A Voyage to Arcturus
16921,PS,5.80,"9,772","61,488",SV2,218,Plague Ship
13882,PR,5.76,"10,534","81,079",SV6,217,John Thorndyke’s Cases : related ...
619,PR,6.01,"9,597","74,638",-SV7,215,The Warden
2726,"PS,PZ",6.20,"9,272","74,849",-SV1,214,Eight Cousins
28215,PS,5.78,"7,586","52,058",SV2,214,Empire
90,"PZ,PS",5.80,"10,557","99,166",-SV3,212,The Son of Tarzan
2225,PR,6.03,"9,538","55,249",SV4,212,”Captains Courageous”: A Story o...
27726,PR,5.81,"7,383","35,973",-SV2,212,Tolstoy on Shakespeare: A Critic...
1999,PR,6.08,"10,893","58,619",SV5,210,Crome Yellow
12629,P,6.05,"10,924","79,563",-SV3,210,Language: An Introduction to the ...
2777,PS,6.10,"12,006","64,623",SV5,209,Cabbages and Kings
2770,"PS,PZ",6.15,"7,239","72,052",SV1,207,Five Little Peppers and How They...
17731,PR,5.68,"10,147","54,797",-SV3,207,The Nigger Of The ”Narcissus”: A...
1188,PR,5.85,"8,141","57,943",SV5,206,The Lair of the White Worm
11696,PR,5.83,"12,312","75,641",-SV2,206,The Food of the Gods and How It ...
2686,PR,6.23,"12,719","64,937",SV4,204,The Book of Snobs
20288,PR,5.86,"4,738","25,492",-SV1,204,Edward the Second
38703,PR,5.94,"11,830","94,455",-SV2,204,The Black Moth: A Romance of the...
1424,PR,6.08,"7,407","46,146",-SV1,203,Castle Rackrent
11666,PS,5.86,"7,136","56,819",-SV4,203,The Conjure Woman
17797,PR,6.23,"8,930","55,039",-SV1,203,Memoir of Jane Austen
2060,PR,6.01,"7,596","37,695",-SV1,202,The History of Caliph Vathek
2948,PR,5.92,"7,901","50,351",-SV1,202,Where Angels Fear to Tread
34414,PZ,6.14,"8,174","49,853",-SV3,202,Just William
2233,PR,6.05,"11,166","78,851",-SV7,201,A Damsel in Distress
19726,PS,5.64,"7,727","43,855",SV2,201,The Door Through Space
26998,"PR,PZ",6.11,"3,960","23,242",-SV1,201,Peter Pan in Kensington Gardens
149,PS,5.87,"6,623","39,077",-SV1,200,The Lost Continent
6753,"PR,PZ",5.98,"8,359","53,944",SV6,199,Psmith in the City
3829,PR,6.07,"8,561","51,823",-SV1,198,Love Among the Chickens
40284,PS,5.92,"5,515","33,133",-SV2,197,The Sex Life of the Gods
19651,PS,5.80,"8,680","58,298",SV2,196,Key Out of Time
5340,"PZ,PS",6.01,"9,520","75,729",-SV1,195,Further Chronicles of Avonlea
12384,PS,5.59,"9,346","33,193",-SV2,194,Battle-Pieces and Aspects of the...
2568,PR,6.00,"9,556","75,407",-SV4,193,Trent’s Last Case
1881,PS,5.97,"10,896","74,677",-SV3,192,The Call of the Canyon
21970,PS,5.65,"4,478","20,702",SV2,192,The Scarlet Plague
32242,"PZ,BL",6.28,"7,300","53,499",-SV4,192,A Wonder Book for Girls & Boys
40426,PS,6.25,"7,955","42,137",SV1,192,Daddy Long-Legs: A Comedy in Fou...
2183,PR,6.02,"10,111","70,600",-SV2,190,Three Men on the Bummel
2429,PS,5.74,"6,999","43,887",SV4,190,Lost Face
17314,PZ,6.05,"7,720","55,960",SV2,190,Five Children and It
434,PS,5.70,"8,559","74,000",-SV8,189,The Circular Staircase
20717,PR,5.98,"9,892","69,907",-SV1,189,The Girl on the Boat
21873,PS,5.51,"8,745","57,211",-SV1,189,Planet of the Damned
12187,PR,5.88,"9,544","79,489",-SV4,188,The Mystery of 31 New Inn
17144,PS,6.00,"6,056","27,360",-SV1,188,The House of the Vampire
24022,PR,6.07,"5,966","30,192",-SV2,188,A Christmas Carol
419,PZ,6.14,"5,108","41,308",SV2,186,The Magic of Oz
1777,PR,5.81,"5,331","30,061",-SV1,186,Romeo and Juliet
3688,PR,6.04,"10,615","54,919",SV3,186,The Chronicles of Clovis
770,"PZ,PR",5.98,"6,352","54,339",-SV1,185,The Story of the Treasure Seeker...
2020,"PZ,PS",5.71,"10,243","97,155",-SV2,185,Tarzan the Terrible
13937,PS,5.92,"11,444","98,620",-SV1,185,The Mysterious Rider
19090,PS,5.85,"6,554","34,745",-SV1,185,Star Hunter
961,PZ,6.13,"5,344","40,477",SV1,184,Glinda of Oz : In Which Are Relat...
8223,PS,5.73,"11,264","94,969",-SV1,184,"Edgar Huntly; or, Memoirs of a S..."
1118,PR,6.09,"4,307","25,863",-SV1,183,Much Ado about Nothing
706,PR,5.90,"8,141","55,454",SV2,182,The Amateur Cracksman
3776,PR,5.79,"7,962","58,894",-SV2,182,The Valley of Fear
